last_location,average_delay,occ
"GURGAON CPC",22.4383,53
"MUMBAI ETAIL WAREHOU",28.5202,49
RKTM,17.8011,45
KALOL,19.4672,39
"PCK/PTD, Gurgaon, HARYANA",21.9026,38
Thane,16.5991,37
"SURAT/LH1, Surat, GUJARAT",19.5243,34
VASM,17.1649,34
"PUNE HUB",17.8794,33
KLLM,22.0041,32
"RTO/MLD, Mumbai, MAHARASHTRA",30.0573,31
VASAI,16.4696,29
"FARIDABAD SERVICE CENTRE",22.4120,27
"ROHINI ETAIL UNIT",18.1143,27
"Motherhub_MAL Malur",31.1226,26
"PCK/BJE, Delhi NCR, DELHI",18.3165,26
"Vasai/hub, Vasai, MAHARASHTRA",16.6422,26
"JAI/LH1, Jaipur, RAJASTHAN",19.5328,24
"MUMBAI ETAIL CENTRE",21.3305,22
RJCX,17.0397,18
Surat,21.1975,17
"Panvel/HUB, Navi Mumbai, MAHARASHTRA",17.5021,15
"OVALI ETAIL UNIT",16.4468,14
Uluberia,32.9677,9
"PCK/OKH, Delhi NCR, DELHI",20.2195,9
"PCK/WDL, Delhi NCR, DELHI",27.8696,8
"TAORU, HARYANA, IN",24.0784,8
MULM,17.8577,8
HIRANKUDNA,17.3021,8
"SURAT AIR HUB",13.9661,8
Nadia,32.7368,7
"COD PROCESSING CENTRE II",22.0984,7
PURBALOK,19.1053,7
"RAJKOT ETAIL CENTER",15.7082,7
"SURAT GROUND HUB",14.9222,7
"Gurugram, Haryana, IN",49.1429,6
"VIJ/LH1, Vijayawada, ANDHRA PRADESH",48.0968,6
"MotherHub_FRK Farukhnagar",26.2609,6
"PCK/AGRA, Agra, UTTAR PRADESH",18.8801,6
Nagpur,23.1250,5
"PCK/FBD, Delhi NCR, DELHI",23.0962,5
"BLR/LH1, BANGALORE, KARNATAKA",17.6316,5
"MUMBAI - MUM",31.2857,4
"PUNE, MAHARASHTRA, IN",27.9500,4
"PCK/EDL, Delhi NCR, DELHI",25.1667,4
"SLG/HUB, SILIGURI, WEST BENGAL",23.7333,4
PNQH,23.2083,4
SABG,23.1364,4
"NAVIMUMBAI ETAIL W/HOUSE",21.0588,4
"MAYUR VIHAR",20.1682,4
SURM,15.4375,4
"SBP/HUB, Sambalpur, ORISSA",57.4000,3
RHNI,38.4000,3
"Mumbai, Maharashtra, IN",35.4643,3
"TOLICHOWKI E-TAIL CENTRE",25.1429,3
SAKINAKA,18.4375,3
"DELHI HUB",10.6883,3
"MUMBAI HUB",10.1207,3
ROHTAK,126.0000,2
"GAU/LH1, Guwahati, ASSAM",123.0000,2
"TADONG ETAIL",93.0000,2
"PAT/LH1, Patna, BIHAR",92.0000,2
"Samod, Chomu, RAJASTHAN",76.0000,2
CTMK,51.4667,2
"PCK/SEC, Hyderabad, TELANGANA",40.1111,2
Patna,38.8000,2
"NEW DELHI, DELHI, IN",37.1176,2
"RAIPUR/HUB, Raipur, CHHATTISGARH",20.3913,2
FKL_farukngr,18.7692,2
"Motherhub_DIC Delhi",18.0000,2
JPNG,17.8000,2
"PNQ/LH1, PUNE, MAHARASHTRA",17.1364,2
"GURUGRAM - GGN",17.1077,2
"OVALI WAREHOUSE",16.8750,2
"RTO/MAZ, Mumbai, MAHARASHTRA",16.5172,2
HYDH,15.5319,2
OKHL,15.0303,2
FDBD,14.8478,2
SHAMLI,393.0000,1
"Pinjore1, Pinjore, HARYANA",390.0000,1
"PCK/SPT, Hyderabad, TELANGANA",217.5000,1
"Sirhind, Patiala, PUNJAB",173.0000,1
"HOSKOTE, KARNATAKA, IN",165.0000,1
"Washim, MAHARASHTRA, IN",125.0000,1
PHULWARISHARIF,123.0000,1
"Shadnagar1, SHADNAGAR, TELANGANA",78.0000,1
"PAT/PWS, Patna, BIHAR",74.0000,1
"MotherHub_SIL Jalpaiguri",71.0000,1
"Shilong, Meghalaya, IN",69.0000,1
PATH,62.5000,1
Palwal,60.0000,1
"PNJ/HUB, Porvorim, GOA",57.7500,1
SARKAGHAT,56.0000,1
Ludhiana,54.0000,1
Vizianagaram,54.0000,1
"Thanjavur Hub",51.0000,1
"Raigad, Maharashtra, IN",51.0000,1
"Patiala Hub",50.0000,1
PANJIM,49.0000,1
PANVEL,49.0000,1
RedHillsODH_CHN,49.0000,1
"PORVORIM - POG",49.0000,1
"SAL/HUB, Salem, TAMIL NADU",47.0000,1
Guwahati,44.0000,1
RanjeetAvenueHub_ATQ,39.0000,1
OKHLA,31.6400,1
"RTO/MAT, BANGALORE, KARNATAKA",30.1667,1
"HYDERABAD - HYD",29.3333,1
Yakubpur,27.3333,1
RANCHI,26.2727,1
ZKPR,25.0000,1
"Motherhub_ABD Ahmedabad",23.0600,1
TALEGAON,22.6000,1
"PASCHIM VIHAR",22.5000,1
IXCH,22.2727,1
"Majra, Dehradun, UTTARAKHAND",21.3125,1
SKHX,18.8333,1
"BAREJA SERVICE CENTRE",18.4000,1
MALUR,18.3529,1
"VPI/HUB, Vapi, GUJARAT",18.2000,1
"SALT LAKE BDEL",18.1613,1
KNDE,18.0789,1
UPPL,17.4000,1
"VIJAYNAGAR MINI HUB",16.8772,1
"SIKAR, Sikar, RAJASTHAN",16.8571,1
"Surat Sort Facility Surat",16.6667,1
KORAMANGALA,16.3723,1
LPRL,15.5789,1
"XMI RTOS",14.9746,1
"SILIGURI WAREHOUSE",14.9375,1
BOMH,14.8667,1
"MAHAIPALPUR HUB",13.1429,1
"ULHAS NAGAR",12.2556,1
"OVALI ETAIL HUB",12.1607,1
"SRT/PC2, Surat, GUJARAT",11.8313,1
"RAN/HUB, Ranchi, JHARKHAND",11.5000,1
VYTL,45.0000,0
RajnandgaonHub_RJN,44.0000,0
"MOHALI  ETAIL DLVRY AGENT",44.0000,0
GAUH,42.0000,0
ThamarasseryHub_TEY,41.0000,0
"GURGAON (SKHX)",40.0000,0
TheogODH_TEO,38.0000,0
Bengaluru,37.0000,0
"Rajnandgaon1, Rajnandgaon, CHHATTISGARH",36.0000,0
Suryapet,34.0000,0
CHEMBUR,34.0000,0
"CCU/PC1, Kolkata, WEST BENGAL",34.0000,0
"New Delhi, New Delhi, IN",33.0000,0
VxpressGovindpurODH_DBD,32.0000,0
"RTO/VST, BANGALORE, KARNATAKA",32.0000,0
THIRUVANANTHAPURAM,31.0000,0
Raipur,30.1250,0
"Ponda, Ponda Goa, GOA",30.0000,0
"Pinarayi, Pinarayi, KERALA",30.0000,0
"Rahata, Rahata, MAHARASHTRA",30.0000,0
"DELHI CONTINGENCY HU",29.1667,0
SHMH,29.0000,0
PCAR,29.0000,0
"SURAT, GUJARAT, IN",29.0000,0
"Hosur, Tamil Nadu, IN",29.0000,0
"Theni, Tamil Nadu, IN",29.0000,0
"Usgao, Ponda Goa, GOA",29.0000,0
"Patran, Patran, PUNJAB",29.0000,0
"Rajgarh, RAJGARH, RAJASTHAN",29.0000,0
"RAJNANDGAON, CHHATTISGARH, IN",29.0000,0
"Sindhekela, Balangir, ORISSA",29.0000,0
JHAJJHAR,28.2000,0
JODHPUR,28.1538,0
SurajpurNoidahub_DEL,28.0000,0
Vadodara,28.0000,0
SIDM,27.0000,0
SrinagarHubtemp_SRG,27.0000,0
RJSCMokokchungODH_MKK,27.0000,0
"TALEGAON PUD CENTRE",26.4000,0
VZGP,26.0000,0
SHIMLA,26.0000,0
"JODHPUR TRANSIT HUB",26.0000,0
"CHIKU WADI",26.0000,0
"UDAIPUR, RAJASTHAN, IN",26.0000,0
"Seelanaikenpatti, Salem, TAMIL NADU",26.0000,0
"Papum Pare, ARUNACHAL PRADESH, IN",26.0000,0
"VAPI WAREHOUSE",25.0000,0
