last_location,average_delay,occ
"LUDHIANA (LUDI)",268.5000,2
"Vasai/hub, Vasai, MAHARASHTRA",7.2155,2
"SURAT/ROC-TML, Surat, GUJARAT",79.0000,1
PNQH,60.3333,1
"VPI/HUB, Vapi, GUJARAT",52.0000,1
"NGP/MNR, Nagpur, MAHARASHTRA",52.0000,1
"HYDERABAD HUB",49.2000,1
KNDE,20.5000,1
SURM,12.0000,1
"NEW DELHI, DELHI, IN",10.8889,1
Surat,10.7660,1
RKTM,9.0972,1
"PCK/PTD, Gurgaon, HARYANA",7.7308,1
"RTO/MLD, Mumbai, MAHARASHTRA",7.2097,1
"PCK/AGRA, Agra, UTTAR PRADESH",7.1194,1
Thane,6.4953,1
"VENGARA, Kannur, KERALA",30.0000,0
"SULTANPUR LODHI",29.0000,0
"Yadav general kirana NEW DELHI",28.0000,0
"INDORE - IND",26.0000,0
VKND,25.5000,0
ZIRAKHPUR,21.0000,0
"TAORU, HARYANA, IN",15.8333,0
ZIRAKPUR,15.0000,0
SANGAMNER,13.5000,0
"Gurugram, Haryana, IN",13.0000,0
"GURUGRAM - GGN",12.6667,0
"PEENYA E-TAIL",10.5000,0
"NOIDA-ETAIL DELIVERY/RTO",10.4000,0
FARUKHNAGAR,10.3333,0
SURYAPET,9.5000,0
"NOIDA E-TAIL CENTRE",9.5000,0
KLLM,9.0000,0
"NGP/LH1, Nagpur, MAHARASHTRA",8.8125,0
SNPD,8.2222,0
"JAIPUR HUB",8.0000,0
"MAHAIPALPUR HUB",8.0000,0
"HYDERABAD - HYD",8.0000,0
"MotherHub_DEL JHAJJHAR",8.0000,0
"ROHINI SERVICE CENTRE",8.0000,0
"PERUMBAVOOR, Kerala, IN",8.0000,0
"NGP/RTO, Nagpur, MAHARASHTRA",8.0000,0
"RajendraparkHub_DEL New Delhi",8.0000,0
"TTSPLKallakurichiODH_KLK kallakurichi",8.0000,0
"TIRUPATI OFFICE",7.3333,0
"MUMBAI KANDIVALI WAR",7.2000,0
"SARJAPUR ROAD",7.1667,0
"BENGALURU, KARNATAKA, IN",7.1304,0
GZBD,7.0000,0
SJEX,7.0000,0
SUPA,7.0000,0
VYTL,7.0000,0
NOHAR,7.0000,0
"RUDRAPUR HUB",7.0000,0
PEENYA,7.0000,0
TALCHER,7.0000,0
"RAIPUR CG - RIP",7.0000,0
TALEGAON,7.0000,0
YELAHANKA,7.0000,0
MARATHALLI,7.0000,0
VIDYANAGAR,7.0000,0
"VIRAR WEST",7.0000,0
"MALAKPET EXT",7.0000,0
"MEMCO OFFICE",7.0000,0
"VARANASI - VRS",7.0000,0
VANASTHALIPURAM,7.0000,0
"NEW THIPPASANDRA",7.0000,0
"VASAI ROAD ETAIL",7.0000,0
"HSR E-TAIL CENTRE",7.0000,0
"Naraina Hub Delhi",7.0000,0
fkl_soukyaRD,7.0000,0
"PNR SERVICE CENTRE",7.0000,0
"Zira, Zira, PUNJAB",7.0000,0
Noida,7.0000,0
"PASCHIM VIHAR ETAIL",7.0000,0
"PURI1, Puri, ORISSA",7.0000,0
"RAMA ROAD",7.0000,0
Patna,7.0000,0
"Tohana, TOHANA, PUNJAB",7.0000,0
"Vikram Kirana BAREILLY",7.0000,0
"Hosur, Tamil Nadu, IN",7.0000,0
Umaria,7.0000,0
"CHENNAI, TAMIL NADU, IN",7.0000,0
PARRYS,7.0000,0
"INTERNATIONAL TECH PARK",7.0000,0
"Motherhub_LKO_Flex Lucknow",7.0000,0
"NAJAFGARH E-TAIL CENTER",7.0000,0
"Saharsa, Saharsa, BIHAR",7.0000,0
Vettichira,7.0000,0
"VrindavanHub_MTH Mathura",7.0000,0
"PAT/PCK, Patna, BIHAR",7.0000,0
"SURAT/SRT, Surat, GUJARAT",7.0000,0
"ShyamnagarHub_KOL Kolkata",7.0000,0
"SBP/HUB, Sambalpur, ORISSA",7.0000,0
"manesar1, Delhi NCR, DELHI",7.0000,0
"SONAIMUKH, SONAIMUKH, ASSAM",7.0000,0
"Vatadara, Vatadara, GUJARAT",7.0000,0
"PNQ/MGR, PUNE, MAHARASHTRA",7.0000,0
"SamaypurbadliHub_DEL Gurugram",7.0000,0
Tiruppattur,7.0000,0
