location,percentage_delayed,warehouse_status
GANDHINAGAR,40.00,"Prioritize for Clearing"
WADALA,12.50,Ignore
"VASHI MINI HUB",1.14,Ignore
"OVALI ETAIL UNIT",0.00,Ignore
BELAPUR,0.00,Ignore
"PCK/BJE, Delhi NCR, DELHI",0.00,Ignore
"DEL/PC1, Delhi NCR, DELHI",0.00,Ignore
"NAVIMUMBAI ETAIL W/HOUSE",0.00,Ignore
"TOWN ETAIL PROCESSING UNI",0.00,Ignore
"MUMBAI ETAIL WAREHOU",0.00,Ignore
"MUMBAI HUB",0.00,Ignore
"KHAR E-TAIL",0.00,Ignore
"HIMAYAT NAGAR (HMNG)",0.00,Ignore
"HYDERABAD HUB",0.00,Ignore
KORAMANGALA,0.00,Ignore
DOBBASPET,0.00,Ignore
Farukhnagar,0.00,Ignore
fkl_soukyaRD,0.00,Ignore
"MUMBAI KANDIVALI WAR",0.00,Ignore
"DELHI CONTINGENCY HU",0.00,Ignore
"LASTMILE E-TAIL DELIVERY",0.00,Ignore
Malur,0.00,Ignore
fkl-mhmalur_EXT,0.00,Ignore
CHEMBUR,0.00,Ignore
"AHMEDABAD HUB",0.00,Ignore
"ASLALI WAREHOUSE",0.00,Ignore
"BHIWANDI HUB",0.00,Ignore
"PUNE HUB",0.00,Ignore
KONDHWA,0.00,Ignore
"VILE PARLE E-TAIL",0.00,Ignore
SEEPZ,0.00,Ignore
"SEEPZ SAKINAKA HUB",0.00,Ignore
"MUMBAI ETAIL CENTRE",0.00,Ignore
"MALAD WEST ETAIL CENTER",0.00,Ignore
JOGESHWARI,0.00,Ignore
"OVALI ETAIL HUB",0.00,Ignore
NARSINGI,0.00,Ignore
YESHWANTPUR,0.00,Ignore
"ETAIL PROCESSING UNIT",0.00,Ignore
"BENGALURU ETAIL HUB",0.00,Ignore
"SURAT AIR HUB",0.00,Ignore
"VARACHHA ETAIL INBOUND",0.00,Ignore
"ETAIL PANVEL WAREHOUSE",0.00,Ignore
TALEGAON,0.00,Ignore
