location,percentage_delayed,warehouse_status
GOREGAON,100.00,"Need Immediate Attention"
"MAA/LH1, Chennai, TAMIL NADU",100.00,"Need Immediate Attention"
"BHUBANESWAR W.HOUSE",100.00,"Need Immediate Attention"
NELAMANGALA,100.00,"Need Immediate Attention"
"BENGALURU TRANSIT HU",100.00,"Need Immediate Attention"
"VZG WAREHOUSE",100.00,"Need Immediate Attention"
"SILIGURI WAREHOUSE",78.57,"Need Immediate Attention"
"MAYUR VIHAR",50.00,"Need Immediate Attention"
Guwahati,50.00,"Need Immediate Attention"
Aalo,50.00,"Need Immediate Attention"
Coimbatore,50.00,"Need Immediate Attention"
"GAU/LH1, Guwahati, ASSAM",50.00,"Need Immediate Attention"
Jalpaiguri,50.00,"Need Immediate Attention"
GHATKOPAR,40.00,"Need Immediate Attention"
MULM,37.50,"Need Immediate Attention"
"DEL/PTD, Delhi NCR, DELHI",33.33,"Need Immediate Attention"
RAMAGUDAM,33.33,"Need Immediate Attention"
"GUWAHATI HUB",30.00,"Need Immediate Attention"
"GANGTOK OFFICE",25.00,"Need Immediate Attention"
"RAJKOT ETAIL CENTER",25.00,"Need Immediate Attention"
Gurgaon,25.00,"Need Immediate Attention"
RJCX,16.67,"Need Immediate Attention"
"FAR COD PROCESSING CENTRE",12.50,"Need Immediate Attention"
"BAREJA EPU",12.50,"Need Immediate Attention"
"SAROLI ETAIL OPERATIONS",9.52,"Need Immediate Attention"
"GURGAON CPC",5.26,"Need Immediate Attention"
"HSR LAYOUT",4.76,"Need Immediate Attention"
"CHIKU WADI",3.70,"Need Immediate Attention"
"DELHI CONTINGENCY HU",3.03,"Need Immediate Attention"
"BIAL HUB",2.22,"Need Immediate Attention"
"OVALI ETAIL UNIT",1.96,"Need Immediate Attention"
"FARIDABAD SERVICE CENTRE",0.00,"Need Immediate Attention"
"COD PROCESSING CENTRE II",0.00,"Need Immediate Attention"
"AIR HUB IN RAW",0.00,"Need Immediate Attention"
"DLF CYBER CITY",0.00,"Need Immediate Attention"
"DELHI HUB",0.00,"Need Immediate Attention"
"MATHURA OFFICE",0.00,"Need Immediate Attention"
KORAMANGALA,0.00,"Need Immediate Attention"
"ETAIL PROCESSING UNIT",0.00,"Need Immediate Attention"
"BENGALURU ETAIL HUB",0.00,"Need Immediate Attention"
"CHENNAI AIRPORT HUB",0.00,"Need Immediate Attention"
CHROMPET,0.00,"Need Immediate Attention"
"BELGIUM SQUARE OFFICE.",0.00,"Need Immediate Attention"
"SURAT GROUND HUB",0.00,"Need Immediate Attention"
"BHIWANDI HUB",0.00,"Need Immediate Attention"
"AIR HUB IN SIW",0.00,"Need Immediate Attention"
"BAREJA SERVICE CENTRE",0.00,"Need Immediate Attention"
"ASLALI WAREHOUSE",0.00,"Need Immediate Attention"
"MORADABAD HUB",0.00,"Need Immediate Attention"
"SHAHJAHANPUR EXPANSION",0.00,"Need Immediate Attention"
CHEMBUR,0.00,"Need Immediate Attention"
"BORIVALI E-TAIL CENTRE",0.00,"Need Immediate Attention"
"OVALI ETAIL HUB",0.00,"Need Immediate Attention"
"TRV MINI HUB",0.00,"Need Immediate Attention"
"MUMBAI ETAIL CENTRE",0.00,"Need Immediate Attention"
"MUMBAI HUB",0.00,"Need Immediate Attention"
"VIJAYNAGAR MINI HUB",0.00,"Need Immediate Attention"
CHAKAN,0.00,"Need Immediate Attention"
"PUNE HUB",0.00,"Need Immediate Attention"
"HINJEWADI WAREHOUSE",0.00,"Need Immediate Attention"
"KAPASHERA HUB",0.00,"Need Immediate Attention"
"DEHRADUN E-TAIL",0.00,"Need Immediate Attention"
"DEHRADUN WAREHOUSE",0.00,"Need Immediate Attention"
"SAKET  E-TAIL DELIVERY",0.00,"Need Immediate Attention"
RAJKOT,0.00,"Need Immediate Attention"
"RKT/PC, Rajkot, GUJARAT",0.00,"Need Immediate Attention"
"SRT/PC2, Surat, GUJARAT",0.00,"Need Immediate Attention"
"SURAT/LH1, Surat, GUJARAT",0.00,"Need Immediate Attention"
"PNQ/LH1, PUNE, MAHARASHTRA",0.00,"Need Immediate Attention"
"Saidapura Satara, Saidapura Satara, MAHARASHTRA",0.00,"Need Immediate Attention"
"PCK/AGRA, Agra, UTTAR PRADESH",0.00,"Need Immediate Attention"
"AGR/HUB, Agra, UTTAR PRADESH",0.00,"Need Immediate Attention"
"DEL/LH1, Gurgaon, HARYANA",0.00,"Need Immediate Attention"
"AMB/LH1, AMBALA, HARYANA",0.00,"Need Immediate Attention"
"UNA, UNA, HIMACHAL PRADESH",0.00,"Need Immediate Attention"
"Hamirpur, HAMIRPUR, HIMACHAL PRADESH",0.00,"Need Immediate Attention"
SURM,0.00,"Need Immediate Attention"
AMDH,0.00,"Need Immediate Attention"
RKTM,0.00,"Need Immediate Attention"
NNPM,0.00,"Need Immediate Attention"
BELAPUR,0.00,"Need Immediate Attention"
"NAVIMUMBAI ETAIL W/HOUSE",0.00,"Need Immediate Attention"
"ANDHERI (ADHR)",0.00,"Need Immediate Attention"
HIRANKUDNA,0.00,"Need Immediate Attention"
"HYDERABAD HUB",0.00,"Need Immediate Attention"
SOMAJIGUDA,0.00,"Need Immediate Attention"
"HYD COD PROCESSING CENTRE",0.00,"Need Immediate Attention"
"VASANT VIHAR",0.00,"Need Immediate Attention"
MOHALI,0.00,"Need Immediate Attention"
"DELHI OFFSITE HUB",0.00,"Need Immediate Attention"
"PATNA AIR HUB",0.00,"Need Immediate Attention"
"SECUNDERABAD HUB",0.00,"Need Immediate Attention"
"PNQ/CHN, Chakan, MAHARASHTRA",0.00,"Need Immediate Attention"
"PNQ/CHK, PUNE, MAHARASHTRA",0.00,"Need Immediate Attention"
"AMBALA AIR HUB",0.00,"Need Immediate Attention"
Surat,0.00,"Need Immediate Attention"
EKL_SuratHub_STX,0.00,"Need Immediate Attention"
"MotherHub_STV_BTS Surat",0.00,"Need Immediate Attention"
Basar,0.00,"Need Immediate Attention"
PEENYA,0.00,"Need Immediate Attention"
TAVAREKERE,0.00,"Need Immediate Attention"
"NAGPUR WAREHOUSE",0.00,"Need Immediate Attention"
"RAIPUR WAREHOUSE",0.00,"Need Immediate Attention"
"RAIPUR HUB",0.00,"Need Immediate Attention"
BILASPUR,0.00,"Need Immediate Attention"
KALOL,0.00,"Need Immediate Attention"
"AHMEDABAD HUB",0.00,"Need Immediate Attention"
UDAIPUR,0.00,"Need Immediate Attention"
"UDAIPUR E-TAIL",0.00,"Need Immediate Attention"
"DEHRADUN SHIMLA BYPASS",0.00,"Need Immediate Attention"
"SILCHAR HUB",0.00,"Need Immediate Attention"
"AGARTALA HUB",0.00,"Need Immediate Attention"
"AGARTALA ETAIL PDA",0.00,"Need Immediate Attention"
"SURAT AIR HUB",0.00,"Need Immediate Attention"
"KOLKATA HUB",0.00,"Need Immediate Attention"
"DIBRUGARH HUB",0.00,"Need Immediate Attention"
HOSKOTE,0.00,"Need Immediate Attention"
"XMI RTOS",0.00,"Need Immediate Attention"
"MUMBAI KANDIVALI WAR",0.00,"Need Immediate Attention"
PATIALA,0.00,"Need Immediate Attention"
BOMH,0.00,"Need Immediate Attention"
DELH,0.00,"Need Immediate Attention"
NIDA,0.00,"Need Immediate Attention"
"MUMBAI EAST WAREHOUSE",0.00,"Need Immediate Attention"
"MUMBAI ETAIL WAREHOU",0.00,"Need Immediate Attention"
"AURANGABAD MINI HUB",0.00,"Need Immediate Attention"
NANDED,0.00,"Need Immediate Attention"
VASAI,0.00,"Need Immediate Attention"
"RAJAHMUNDHRY HUB",0.00,"Need Immediate Attention"
"TADEPALLIGUDEM REACH",0.00,"Need Immediate Attention"
AMBALA,0.00,"Need Immediate Attention"
JPNG,0.00,"Need Immediate Attention"
ELCT,0.00,"Need Immediate Attention"
BLRH,0.00,"Need Immediate Attention"
JMLX,0.00,"Need Immediate Attention"
"RTO/VASAI, Mumbai, MAHARASHTRA",0.00,"Need Immediate Attention"
"Vasai/hub, Vasai, MAHARASHTRA",0.00,"Need Immediate Attention"
"BOM/HUB, Mumbai, MAHARASHTRA",0.00,"Need Immediate Attention"
"BHIWANDI/LH1, Bhiwandi, MAHARASHTRA",0.00,"Need Immediate Attention"
"Surat/HUB, Surat, GUJARAT",0.00,"Need Immediate Attention"
"MAA/PC1, Chennai, TAMIL NADU",0.00,"Need Immediate Attention"
"MAA/CHL-TML, Chennai, TAMIL NADU",0.00,"Need Immediate Attention"
Hyderabad,0.00,"Need Immediate Attention"
FKL_hydpatan_EXT,0.00,"Need Immediate Attention"
FKL_hydpatan,0.00,"Need Immediate Attention"
"MotherHub_HYP Hyderabad",0.00,"Need Immediate Attention"
KOTDWARA,0.00,"Need Immediate Attention"
"JAIPUR HUB",0.00,"Need Immediate Attention"
"JAIPUR MALVIYA NAGAR",0.00,"Need Immediate Attention"
"JAIPUR MANSAROVAR",0.00,"Need Immediate Attention"
"HADAPSAR SERVICE CENTRE",0.00,"Need Immediate Attention"
"PARVATI SERVICE CENTER",0.00,"Need Immediate Attention"
"NBM/GHN, Navi Mumbai, MAHARASHTRA",0.00,"Need Immediate Attention"
"Panvel/HUB, Navi Mumbai, MAHARASHTRA",0.00,"Need Immediate Attention"
"Bhiwandi, Bhiwandi, MAHARASHTRA",0.00,"Need Immediate Attention"
"AMB/HUB, AMBALA, HARYANA",0.00,"Need Immediate Attention"
"JAIPUR KANOTA",0.00,"Need Immediate Attention"
"JAIPUR VIDHADHAR NAGAR",0.00,"Need Immediate Attention"
"VAISHALI NAGAR",0.00,"Need Immediate Attention"
"AMD/LH1, Ahmedabad, GUJARAT",0.00,"Need Immediate Attention"
"VADODARA WAREHOUSE",0.00,"Need Immediate Attention"
"BHARUCH E TAIL",0.00,"Need Immediate Attention"
Thane,0.00,"Need Immediate Attention"
Fkl-MUMFlexSai4_EXT,0.00,"Need Immediate Attention"
"Motherhub_SAI_4 Thane",0.00,"Need Immediate Attention"
Gulbarga,0.00,"Need Immediate Attention"
Fkl-MUMFlexSai4,0.00,"Need Immediate Attention"
"CP BRANCH OFFICE",0.00,"Need Immediate Attention"
"COD PROCESSING CENTRE I",0.00,"Need Immediate Attention"
"PCK/BJE, Delhi NCR, DELHI",0.00,"Need Immediate Attention"
"DEL/PC1, Delhi NCR, DELHI",0.00,"Need Immediate Attention"
"DEL/WDL, Delhi NCR, DELHI",0.00,"Need Immediate Attention"
"DEL/KMP1, New Delhi, DELHI",0.00,"Need Immediate Attention"
"VASHI MINI HUB",0.00,"Need Immediate Attention"
MAHAPE,0.00,"Need Immediate Attention"
"COD PROCESSING CENTRE III",0.00,"Need Immediate Attention"
"Madurai Hub",0.00,"Need Immediate Attention"
Madurai,0.00,"Need Immediate Attention"
fkl_STVBTS01,0.00,"Need Immediate Attention"
"PCK/PTD, Gurgaon, HARYANA",0.00,"Need Immediate Attention"
"BOM/BDP-TML, Mumbai, MAHARASHTRA",0.00,"Need Immediate Attention"
"MAJIWADA ETAIL OFFICE",0.00,"Need Immediate Attention"
DUNDIGAL,0.00,"Need Immediate Attention"
"SOMAVARAM VILLAGE",0.00,"Need Immediate Attention"
Nadia,0.00,"Need Immediate Attention"
Fkl-KalashHRNWB,0.00,"Need Immediate Attention"
"Motherhub_HRN Nadia",0.00,"Need Immediate Attention"
Lucknow,0.00,"Need Immediate Attention"
"PCK/FBD, Delhi NCR, DELHI",0.00,"Need Immediate Attention"
"DEL/LH3, Gurgaon, HARYANA",0.00,"Need Immediate Attention"
"ITANAGAR, ITANAGAR, ARUNACHAL PRADESH",0.00,"Need Immediate Attention"
"INDIRAPURAM SERVICECENTRE",0.00,"Need Immediate Attention"
"COD PROCESSING CENTRE 4",0.00,"Need Immediate Attention"
OKHLA,0.00,"Need Immediate Attention"
"HITECH CITY",0.00,"Need Immediate Attention"
"KOCHIN HUB",0.00,"Need Immediate Attention"
PEYAD,0.00,"Need Immediate Attention"
"RR District",0.00,"Need Immediate Attention"
JAIPUR,0.00,"Need Immediate Attention"
GRND,0.00,"Need Immediate Attention"
Dharwad,0.00,"Need Immediate Attention"
Pandharpur,0.00,"Need Immediate Attention"
Pune,0.00,"Need Immediate Attention"
"BILASPUR MINI HUB (A",0.00,"Need Immediate Attention"
"MANDI NER CHOWK",0.00,"Need Immediate Attention"
"ROHINI ETAIL UNIT",0.00,"Need Immediate Attention"
PNYX,0.00,"Need Immediate Attention"
BLR,0.00,"Need Immediate Attention"
OKHL,0.00,"Need Immediate Attention"
EDLC,0.00,"Need Immediate Attention"
IDRH,0.00,"Need Immediate Attention"
"RKT/HUB, Rajkot, GUJARAT",0.00,"Need Immediate Attention"
"FATEHGARH SAHIB",0.00,"Need Immediate Attention"
AJMER,0.00,"Need Immediate Attention"
Farukhnagar,0.00,"Need Immediate Attention"
"MotherHub_FRK Farukhnagar",0.00,"Need Immediate Attention"
Dehradun,0.00,"Need Immediate Attention"
"ULHAS NAGAR",0.00,"Need Immediate Attention"
"GOPINATH BAZAR HUB",0.00,"Need Immediate Attention"
BDQH,0.00,"Need Immediate Attention"
"NGP/GHR, Nagpur, MAHARASHTRA",0.00,"Need Immediate Attention"
"NGP/HUB, Nagpur, MAHARASHTRA",0.00,"Need Immediate Attention"
"NGP/LH1, Nagpur, MAHARASHTRA",0.00,"Need Immediate Attention"
"HYD/LH1, Hyderabad, TELANGANA",0.00,"Need Immediate Attention"
"HYD/PC1, Hyderabad, TELANGANA",0.00,"Need Immediate Attention"
"VIJ/LH1, Vijayawada, ANDHRA PRADESH",0.00,"Need Immediate Attention"
ekl-Medchal,0.00,"Need Immediate Attention"
Secundrabad,0.00,"Need Immediate Attention"
"MotherHub_MED Hyderabad",0.00,"Need Immediate Attention"
"WHF APX/SFC PUD CENTRE",0.00,"Need Immediate Attention"
"BENGALURU SFC W/F",0.00,"Need Immediate Attention"
"DELIVERY PICKUP SOUKYA RD",0.00,"Need Immediate Attention"
dhubri,0.00,"Need Immediate Attention"
"ChaparHub_CHP dhubri",0.00,"Need Immediate Attention"
CPLC,0.00,"Need Immediate Attention"
RMRN,0.00,"Need Immediate Attention"
SJEX,0.00,"Need Immediate Attention"
"KHARAR E-TAIL",0.00,"Need Immediate Attention"
ChakurHub_CKR,0.00,"Need Immediate Attention"
Chakur,0.00,"Need Immediate Attention"
"FAR SERVICE CENTRE",0.00,"Need Immediate Attention"
"FARIDABAD NIT",0.00,"Need Immediate Attention"
SANGHVI,0.00,"Need Immediate Attention"
"BANER SERVICE CENTRE",0.00,"Need Immediate Attention"
"Basheerbagh Hub Hyderabad",0.00,"Need Immediate Attention"
Humnabad,0.00,"Need Immediate Attention"
Kota,0.00,"Need Immediate Attention"
"Kota Hub Kota",0.00,"Need Immediate Attention"
"RawatbhataMDH_KTU Rawatbhata",0.00,"Need Immediate Attention"
Rawatbhata,0.00,"Need Immediate Attention"
NARSINGI,0.00,"Need Immediate Attention"
PARRYS,0.00,"Need Immediate Attention"
PERAMBUR,0.00,"Need Immediate Attention"
"ETAIL CPU",0.00,"Need Immediate Attention"
BSGD,0.00,"Need Immediate Attention"
HYDH,0.00,"Need Immediate Attention"
VKND,0.00,"Need Immediate Attention"
"KHADKI DELIVERY CENTER",0.00,"Need Immediate Attention"
TRINITY,0.00,"Need Immediate Attention"
BHOWANIPUR,0.00,"Need Immediate Attention"
PURBALOK,0.00,"Need Immediate Attention"
DURGAPUR,0.00,"Need Immediate Attention"
KLLM,0.00,"Need Immediate Attention"
AMD,0.00,"Need Immediate Attention"
SKHX,0.00,"Need Immediate Attention"
